Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,baseline,batch_size,class_weight,data,epochs,frequency,initial_epoch,layers/channels,min_delta,model_key,monitor,opt_amsgrad,opt_beta_1,opt_beta_2,opt_clipnorm,opt_clipvalue,opt_ema_momentum,opt_ema_overwrite_frequency,opt_epsilon,opt_global_clipnorm,opt_gradient_accumulation_steps,opt_learning_rate,opt_loss_scale_factor,opt_name,opt_use_ema,opt_weight_decay,patience,restore_best_weights,sample_weight,sampling_stepsize,shuffle,smoothing_func,steps_per_epoch,transient_data_length,validation_batch_size,validation_freq,validation_split,validation_steps,window_width,loss,mean_absolute_error,stopped_epoch,test_mae_static,test_mae_transient,test_mse_static,test_mse_transient,val_loss,val_mean_absolute_error,validation_loss,validation_mean_absolute_error
2024-08-31 17:43:59,5.2s,87144e3927b54bb68b89eb4da7d86e64,unequaled-mole-475,LOCAL,src/main.py,mlflow_user,FINISHED,,,,transient,,1,,64,,linear_regression,,,,,,,,,,,,,,,,,,,,1,,{'rolling_mean'},,{4},,,,,180,,,,0.05972855051935333,0.08843233880901792,0.004518263585591226,0.013741313910872245,,,,
2024-08-31 17:43:48,5.2s,5245e7189730464d94f8f154e617a180,masked-hen-884,LOCAL,src/main.py,mlflow_user,FINISHED,,,,transient,,1,,16,,linear_regression,,,,,,,,,,,,,,,,,,,,1,,{'rolling_mean'},,{4},,,,,180,,,,0.05972855051935333,0.08843233880901792,0.004518263585591226,0.013741313910872245,,,,
2024-08-31 17:43:37,5.5s,48553a88c19e4b5bbb3b2312e97665c5,secretive-bee-557,LOCAL,src/main.py,mlflow_user,FINISHED,,,,transient,,1,,8,,linear_regression,,,,,,,,,,,,,,,,,,,,1,,{'rolling_mean'},,{4},,,,,180,,,,0.05972855051935333,0.08843233880901792,0.004518263585591226,0.013741313910872245,,,,
2024-08-31 17:40:53,2.6min,1bffa417d08d4c4fb73f7f56f0d265c8,resilient-bat-753,LOCAL,src/main.py,mlflow_user,FINISHED,None,16,None,transient,20,1,0,64,0,lstm,val_loss,False,0.9,999,None,None,0.99,None,1E-07,None,None,0.0010000000474974513,None,adam,False,None,1,False,None,1,True,{'rolling_mean'},None,{4},None,1,0.2,None,180,0.003163538407534361,0.03672723099589348,5,0.03826797556347737,0.04080735786162434,0.0023976556153425892,0.0034323340524884264,0.0019786867778748274,0.03297315537929535,0.0019786867778748274,0.03297315537929535
2024-08-31 17:37:23,3.4min,1b6f0824a2f54bcca71d223655852db1,sedate-cow-446,LOCAL,src/main.py,mlflow_user,FINISHED,None,16,None,transient,20,1,0,16,0,lstm,val_loss,False,0.9,999,None,None,0.99,None,1E-07,None,None,0.0010000000474974513,None,adam,False,None,1,False,None,1,True,{'rolling_mean'},None,{4},None,1,0.2,None,180,0.0030654037836939096,0.035261958837509155,17,0.03053806291548266,0.04090368572929933,0.0014091745465455716,0.003495897427140661,0.0019930347334593534,0.03340902924537659,0.0019930347334593534,0.03340902924537659
2024-08-31 17:33:55,3.4min,6597cea54dfc4863b1bc5c4c0bdf2b2a,grandiose-elk-207,LOCAL,src/main.py,mlflow_user,FINISHED,None,16,None,transient,20,1,0,8,0,lstm,val_loss,False,0.9,999,None,None,0.99,None,1E-07,None,None,0.0010000000474974513,None,adam,False,None,1,False,None,1,True,{'rolling_mean'},None,{4},None,1,0.2,None,180,0.0030174830462783575,0.03424986079335213,17,0.04203702777854265,0.04271250180473123,0.0025915902864170758,0.0037464541566009962,0.0022635587956756353,0.03626515343785286,0.0022635587956756353,0.03626515343785286
2024-08-31 17:31:58,1.9min,3e83941439884474bd54e7788c76eb54,dashing-moth-919,LOCAL,src/main.py,mlflow_user,FINISHED,None,16,None,transient,20,1,0,64,0,conv1d,val_loss,False,0.9,999,None,None,0.99,None,1E-07,None,None,0.0010000000474974513,None,adam,False,None,1,False,None,1,True,{'filter'},None,{4},None,1,0.2,None,180,0.02412806823849678,0.1464172899723053,1,0.17251913346176775,0.1329471496355968,0.030912635477932222,0.020121128973628916,0.018833929672837257,0.12981030344963074,0.018833929672837257,0.12981030344963074
2024-08-31 17:30:02,1.8min,526a24e73a2a47ccbe14b59db33ef74d,persistent-seal-523,LOCAL,src/main.py,mlflow_user,FINISHED,None,16,None,transient,20,1,0,16,0,conv1d,val_loss,False,0.9,999,None,None,0.99,None,1E-07,None,None,0.0010000000474974513,None,adam,False,None,1,False,None,1,True,{'filter'},None,{4},None,1,0.2,None,180,0.0042905788868665695,0.04215270280838013,3,0.03927830022016585,0.05315147659781996,0.001877567511875553,0.005660018220354835,0.00299087050370872,0.039981428533792496,0.00299087050370872,0.039981428533792496
2024-08-31 17:28:07,1.8min,b81f9a604d7d4cf3a48503547bed38aa,able-pig-317,LOCAL,src/main.py,mlflow_user,FINISHED,None,16,None,transient,20,1,0,8,0,conv1d,val_loss,False,0.9,999,None,None,0.99,None,1E-07,None,None,0.0010000000474974513,None,adam,False,None,1,False,None,1,True,{'filter'},None,{4},None,1,0.2,None,180,0.004429983906447887,0.0425206795334816,2,0.07082525329654873,0.053474528668592425,0.006044724725001802,0.0055553822075055355,0.0027893376536667347,0.03720628470182419,0.0027893376536667347,0.03720628470182419
2024-08-31 17:26:10,1.9min,5d5486567ab04b1b9ab8edd8f5a1dd72,unleashed-bass-301,LOCAL,src/main.py,mlflow_user,FINISHED,None,16,None,transient,20,1,0,64,0,dynamic_mlp,val_loss,False,0.9,999,None,None,0.99,None,1E-07,None,None,0.0010000000474974513,None,adam,False,None,1,False,None,1,True,{'filter'},None,{4},None,1,0.2,None,180,0.00425502797588706,0.04115726426243782,1,0.03698853210469217,0.054088983112968156,0.0014942677975761706,0.006017275914700415,0.003154240781441331,0.0396505631506443,0.003154240781441331,0.0396505631506443
2024-08-31 17:24:14,1.8min,9c47d8dcb0d0433aa57545e920e2c5e9,mysterious-dog-425,LOCAL,src/main.py,mlflow_user,FINISHED,None,16,None,transient,20,1,0,16,0,dynamic_mlp,val_loss,False,0.9,999,None,None,0.99,None,1E-07,None,None,0.0010000000474974513,None,adam,False,None,1,False,None,1,True,{'filter'},None,{4},None,1,0.2,None,180,0.004055552184581757,0.038968369364738464,1,0.04928097477319506,0.05211172010624972,0.002522124457632546,0.005423865038826039,0.002686422783881426,0.03698509931564331,0.002686422783881426,0.03698509931564331
2024-08-31 17:22:16,1.9min,a3dc3f01d3c1487d9a66f9d94fd44a23,resilient-stag-338,LOCAL,src/main.py,mlflow_user,FINISHED,None,16,None,transient,20,1,0,8,0,dynamic_mlp,val_loss,False,0.9,999,None,None,0.99,None,1E-07,None,None,0.0010000000474974513,None,adam,False,None,1,False,None,1,True,{'filter'},None,{4},None,1,0.2,None,180,0.004033609293401241,0.038660407066345215,5,0.0509924653657797,0.05233686010329227,0.0027068305456123846,0.005400992305865149,0.002681001089513302,0.037176135927438736,0.002681001089513302,0.037176135927438736
2024-08-31 17:20:13,1.9min,be09e544afe544b18dfab3e5e87b1c60,vaunted-shoat-76,LOCAL,src/main.py,mlflow_user,FINISHED,None,16,None,transient,20,1,0,64,0,static_mlp,val_loss,False,0.9,999,None,None,0.99,None,1E-07,None,None,0.0010000000474974513,None,adam,False,None,1,False,None,1,True,{'filter'},None,{4},None,1,0.2,None,180,0.0008648360962979496,0.017244327813386917,2,0.037838187942056074,0.02101368544983138,0.0016054084878140537,0.0006018348884609267,0.0005775353056378663,0.020626496523618698,0.0005775353056378663,0.020626496523618698
2024-08-31 17:18:07,2.0min,6005998f3e3b4b80847e363564e2dcb8,learned-grouse-590,LOCAL,src/main.py,mlflow_user,FINISHED,None,16,None,transient,20,1,0,16,0,static_mlp,val_loss,False,0.9,999,None,None,0.99,None,1E-07,None,None,0.0010000000474974513,None,adam,False,None,1,False,None,1,True,{'filter'},None,{4},None,1,0.2,None,180,0.0019115572795271873,0.027581196278333664,6,0.024130252094078385,0.028608422951354427,0.0007561503131373004,0.0016593815254203324,0.0010118641657754779,0.023905543610453606,0.0010118641657754779,0.023905543610453606
2024-08-31 17:15:52,2.2min,c4684e62c50843a7a8eca87482860ab8,hilarious-swan-141,LOCAL,src/main.py,mlflow_user,FINISHED,None,16,None,transient,20,1,0,8,0,static_mlp,val_loss,False,0.9,999,None,None,0.99,None,1E-07,None,None,0.0010000000474974513,None,adam,False,None,1,False,None,1,True,{'filter'},None,{4},None,1,0.2,None,180,0.0010465540690347552,0.022087791934609413,16,0.07110350254052483,0.02231585565190104,0.008190068612607557,0.0007305962750474554,0.0004929779679514468,0.018549391999840736,0.0004929779679514468,0.018549391999840736
2024-08-31 17:15:40,6.5s,83e8eeb620214b6ca2b4a6ebd4ca98b2,respected-smelt-815,LOCAL,src/main.py,mlflow_user,FINISHED,,,,transient,,1,,64,,lasso_regression,,,,,,,,,,,,,,,,,,,,1,,{'filter'},,{4},,,,,180,,,,0.04731679976758534,0.05246371317392735,0.0023280810760300972,0.005514358855716708,,,,
2024-08-31 17:15:29,5.6s,8cd1846684904021987666e83b6badcc,thundering-dove-17,LOCAL,src/main.py,mlflow_user,FINISHED,,,,transient,,1,,16,,lasso_regression,,,,,,,,,,,,,,,,,,,,1,,{'filter'},,{4},,,,,180,,,,0.04731679976758534,0.05246371317392735,0.0023280810760300972,0.005514358855716708,,,,
2024-08-31 17:15:19,5.5s,5036124eae594555a889a04a9f4b81a4,beautiful-bird-567,LOCAL,src/main.py,mlflow_user,FINISHED,,,,transient,,1,,8,,lasso_regression,,,,,,,,,,,,,,,,,,,,1,,{'filter'},,{4},,,,,180,,,,0.04731679976758534,0.05246371317392735,0.0023280810760300972,0.005514358855716708,,,,
2024-08-31 17:15:08,5.4s,a7296e19dcb746ab808d98e57ab3a49f,nosy-cod-45,LOCAL,src/main.py,mlflow_user,FINISHED,,,,transient,,1,,64,,linear_regression,,,,,,,,,,,,,,,,,,,,1,,{'filter'},,{4},,,,,180,,,,0.06801428329903278,0.08518848152944061,0.0052714665258767526,0.012899294656333903,,,,
2024-08-31 17:14:58,5.7s,3608dc9a5585482c80632907d194b4a3,stylish-stag-251,LOCAL,src/main.py,mlflow_user,FINISHED,,,,transient,,1,,16,,linear_regression,,,,,,,,,,,,,,,,,,,,1,,{'filter'},,{4},,,,,180,,,,0.06801428329903278,0.08518848152944061,0.0052714665258767526,0.012899294656333903,,,,
2024-08-31 17:14:47,5.4s,3efc21f805ba409a86b31b9c059b9382,carefree-quail-481,LOCAL,src/main.py,mlflow_user,FINISHED,,,,transient,,1,,8,,linear_regression,,,,,,,,,,,,,,,,,,,,1,,{'filter'},,{4},,,,,180,,,,0.06801428329903278,0.08518848152944061,0.0052714665258767526,0.012899294656333903,,,,
